CUI1,AUI1,STYPE1,REL,CUI2,AUI2,STYPE2,RELA,RUI,SRUI,SAB,SL,RG,DIR,SUPPRESS,CVF,cui2
C0155879,NULL,CUI,RB,C0004096,NULL,CUI,NULL,R02784197,NULL,MTH,MTH,NULL,NULL,N,NULL,C0155879
C0155879,NULL,CUI,RB,C0038218,NULL,CUI,NULL,R101329271,NULL,MTH,MTH,NULL,NULL,N,NULL,C0155879
C0155880,NULL,CUI,RB,C0004096,NULL,CUI,NULL,R02784199,NULL,MTH,MTH,NULL,NULL,N,NULL,C0155880
C0155880,NULL,CUI,RO,C0264413,NULL,CUI,NULL,R03283008,NULL,MTH,MTH,NULL,NULL,N,NULL,C0155880
C0155880,NULL,CUI,RO,C0259745,NULL,CUI,NULL,R03283010,NULL,MTH,MTH,NULL,NULL,N,NULL,C0155880
C0155880,A12059994,CUI,RQ,C0004096,A0874654,AUI,clinically_similar,R03689962,NULL,RAM,RAM,NULL,NULL,N,NULL,C0155880
C0155880,NULL,CUI,RB,C0024117,NULL,CUI,NULL,R146188087,NULL,MTH,MTH,NULL,NULL,N,NULL,C0155880
C0155880,NULL,CUI,RO,C0155877,NULL,CUI,NULL,R28755256,NULL,MTH,MTH,NULL,NULL,N,NULL,C0155880
C0155880,NULL,CUI,RO,C1827548,NULL,CUI,NULL,R60450417,NULL,MTH,MTH,NULL,NULL,N,NULL,C0155880
C0155882,NULL,CUI,RB,C0004096,NULL,CUI,NULL,R02784200,NULL,MTH,MTH,NULL,NULL,N,NULL,C0155882
C0155882,NULL,CUI,RB,C0038218,NULL,CUI,NULL,R101329273,NULL,MTH,MTH,NULL,NULL,N,NULL,C0155882
C0155878,NULL,CUI,RB,C0004096,NULL,CUI,NULL,R02800470,NULL,MTH,MTH,NULL,NULL,N,NULL,C0155878
C0155878,NULL,CUI,RB,C0155886,NULL,CUI,NULL,R02800471,NULL,MTH,MTH,NULL,NULL,N,NULL,C0155878
C0155878,A13036094,CUI,RQ,C0004096,A0874654,AUI,clinically_similar,R03689960,NULL,RAM,RAM,NULL,NULL,N,NULL,C0155878
C0155878,NULL,CUI,RO,C0155877,NULL,CUI,NULL,R70949456,NULL,MTH,MTH,NULL,NULL,N,NULL,C0155878
C0155878,NULL,CUI,RO,C1827849,NULL,CUI,NULL,R71416312,NULL,MTH,MTH,NULL,NULL,N,NULL,C0155878
C0155881,NULL,CUI,RB,C0004096,NULL,CUI,NULL,R02800473,NULL,MTH,MTH,NULL,NULL,N,NULL,C0155881
C0155881,NULL,CUI,RB,C0155886,NULL,CUI,NULL,R02800474,NULL,MTH,MTH,NULL,NULL,N,NULL,C0155881
C0155881,A13070319,CUI,RQ,C0004096,A0874654,AUI,clinically_similar,R03689963,NULL,RAM,RAM,NULL,NULL,N,NULL,C0155881
C0155881,NULL,CUI,RO,C1827548,NULL,CUI,NULL,R71416314,NULL,MTH,MTH,NULL,NULL,N,NULL,C0155881
C0155886,NULL,CUI,RB,C0004096,NULL,CUI,NULL,R02800475,NULL,MTH,MTH,NULL,NULL,N,NULL,C0155886
C0155886,NULL,CUI,RN,C0155878,NULL,CUI,NULL,R02983476,NULL,MTH,MTH,NULL,NULL,N,NULL,C0155886
C0155886,NULL,CUI,RN,C0155881,NULL,CUI,NULL,R02983477,NULL,MTH,MTH,NULL,NULL,N,NULL,C0155886
C0155886,NULL,CUI,RO,C2984299,NULL,CUI,NULL,R126033157,NULL,MTH,MTH,NULL,NULL,N,NULL,C0155886
C0155886,NULL,CUI,RO,C3714497,NULL,CUI,NULL,R162341934,NULL,MTH,MTH,NULL,NULL,N,NULL,C0155886
C0155886,NULL,CUI,RB,C0035204,NULL,CUI,NULL,R28754783,NULL,MTH,MTH,NULL,NULL,N,NULL,C0155886
C0155886,NULL,CUI,RO,C1869116,NULL,CUI,NULL,R71416317,NULL,MTH,MTH,NULL,NULL,N,NULL,C0155886
C0549336,NULL,CUI,RB,C0004096,NULL,CUI,NULL,R02813725,NULL,MTH,MTH,NULL,NULL,N,NULL,C0549336
C0549336,NULL,CUI,RO,C0349790,NULL,CUI,NULL,R03346156,NULL,MTH,MTH,NULL,NULL,N,NULL,C0549336
C0549336,NULL,CUI,RB,C0035242,NULL,CUI,NULL,R13402522,NULL,MTH,MTH,NULL,NULL,N,NULL,C0549336
C0347950,NULL,CUI,RB,C0004096,NULL,CUI,NULL,R02820922,NULL,MTH,MTH,NULL,NULL,N,NULL,C0347950
C0347950,NULL,CUI,RN,C0038218,NULL,CUI,NULL,R101329262,NULL,MTH,MTH,NULL,NULL,N,NULL,C0347950
C0347950,NULL,CUI,RO,C0349790,NULL,CUI,NULL,R154246476,NULL,MTH,MTH,NULL,NULL,N,NULL,C0347950
C0006266,NULL,CUI,RB,C0006261,NULL,CUI,NULL,R02658961,NULL,MTH,MTH,NULL,NULL,N,NULL,C0006266
C0006266,NULL,CUI,RB,C0024117,NULL,CUI,NULL,R02658963,NULL,MTH,MTH,NULL,NULL,N,NULL,C0006266
C0006266,NULL,CUI,RN,C0015263,NULL,CUI,NULL,R02844120,NULL,MTH,MTH,NULL,NULL,N,NULL,C0006266
C0006266,NULL,CUI,RN,C0231874,NULL,CUI,NULL,R02844121,NULL,MTH,MTH,NULL,NULL,N,NULL,C0006266
C0006266,NULL,CUI,RO,C0004096,NULL,CUI,NULL,R03027312,NULL,MTH,MTH,NULL,NULL,N,NULL,C0006266
C0006266,NULL,CUI,RO,C0043144,NULL,CUI,NULL,R03027315,NULL,MTH,MTH,NULL,NULL,N,NULL,C0006266
C0006266,NULL,CUI,RO,C0231875,NULL,CUI,NULL,R03027316,NULL,MTH,MTH,NULL,NULL,N,NULL,C0006266
C0006266,NULL,CUI,RO,C0038218,NULL,CUI,NULL,R101329275,NULL,MTH,MTH,NULL,NULL,N,NULL,C0006266
C0006266,NULL,CUI,RB,C0035204,NULL,CUI,NULL,R28754685,NULL,MTH,MTH,NULL,NULL,N,NULL,C0006266
C0006277,NULL,CUI,RB,C0006261,NULL,CUI,NULL,R02658969,NULL,MTH,MTH,NULL,NULL,N,NULL,C0006277
C0006277,NULL,CUI,RB,C0021368,NULL,CUI,NULL,R02658970,NULL,MTH,MTH,NULL,NULL,N,NULL,C0006277
C0006277,NULL,CUI,RB,C0679406,NULL,CUI,NULL,R02658972,NULL,MTH,MTH,NULL,NULL,N,NULL,C0006277
C0006277,NULL,CUI,RN,C1319018,NULL,CUI,NULL,R02844131,NULL,MTH,MTH,NULL,NULL,N,NULL,C0006277
C0006277,NULL,CUI,RN,C0023077,NULL,CUI,NULL,R02844132,NULL,MTH,MTH,NULL,NULL,N,NULL,C0006277
C0006277,NULL,CUI,RN,C0008677,NULL,CUI,NULL,R02844134,NULL,MTH,MTH,NULL,NULL,N,NULL,C0006277
C0006277,NULL,CUI,RN,C0029544,NULL,CUI,NULL,R02844137,NULL,MTH,MTH,NULL,NULL,N,NULL,C0006277
C0006277,NULL,CUI,RN,C0155875,NULL,CUI,NULL,R02844138,NULL,MTH,MTH,NULL,NULL,N,NULL,C0006277
C0006277,NULL,CUI,RO,C0004096,NULL,CUI,NULL,R03027332,NULL,MTH,MTH,NULL,NULL,N,NULL,C0006277
C0006277,NULL,CUI,RO,C0040584,NULL,CUI,NULL,R03027333,NULL,MTH,MTH,NULL,NULL,N,NULL,C0006277
C0006277,NULL,CUI,RO,C0549313,NULL,CUI,NULL,R03027337,NULL,MTH,MTH,NULL,NULL,N,NULL,C0006277
C0006277,A0032894,CUI,RQ,C0155872,A1623353,AUI,clinically_similar,R03688837,NULL,RAM,RAM,NULL,NULL,N,NULL,C0006277
C0006277,NULL,CUI,RB,C2939171,NULL,CUI,NULL,R121493179,NULL,MTH,MTH,NULL,NULL,N,NULL,C0006277
C0006277,NULL,CUI,RN,C0149514,NULL,CUI,NULL,R121565131,NULL,MTH,MTH,NULL,NULL,N,NULL,C0006277
C0006277,NULL,CUI,RN,C4041147,NULL,CUI,NULL,R167413236,NULL,MTH,MTH,NULL,NULL,N,NULL,C0006277
C0006277,NULL,CUI,RN,C0155874,NULL,CUI,NULL,R18925554,NULL,MTH,MTH,NULL,NULL,N,NULL,C0006277
C0006277,NULL,CUI,RO,C0340238,NULL,CUI,NULL,R18925732,NULL,MTH,MTH,NULL,NULL,N,NULL,C0006277
C0006277,NULL,CUI,RO,C0238990,NULL,CUI,NULL,R28741511,NULL,MTH,MTH,NULL,NULL,N,NULL,C0006277
C0006277,NULL,CUI,RB,C0035204,NULL,CUI,NULL,R28754713,NULL,MTH,MTH,NULL,NULL,N,NULL,C0006277
C0006277,NULL,CUI,RN,C0865792,NULL,CUI,NULL,R40894717,NULL,MTH,MTH,NULL,NULL,N,NULL,C0006277
C0006277,NULL,CUI,RN,C0850741,NULL,CUI,NULL,R46200990,NULL,MTH,MTH,NULL,NULL,N,NULL,C0006277
C0006277,NULL,CUI,RB,C0149725,NULL,CUI,NULL,R49803310,NULL,MTH,MTH,NULL,NULL,N,NULL,C0006277
C0033931,NULL,CUI,RB,C0149779,NULL,CUI,NULL,R02670291,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RN,C0027821,NULL,CUI,NULL,R02875157,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RN,C0149765,NULL,CUI,NULL,R02875158,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RN,C0679493,NULL,CUI,NULL,R02875160,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RN,C0679494,NULL,CUI,NULL,R02875161,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RN,C0236795,NULL,CUI,NULL,R02875162,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RN,C0221489,NULL,CUI,NULL,R02875165,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RN,C0020703,NULL,CUI,NULL,R02875167,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RN,C0152174,NULL,CUI,NULL,R02875168,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RN,C0154456,NULL,CUI,NULL,R02875169,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RN,C0029824,NULL,CUI,NULL,R02875170,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RN,C0233750,NULL,CUI,NULL,R02875171,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0003125,NULL,CUI,NULL,R03071906,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0004096,NULL,CUI,NULL,R03071907,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0007370,NULL,CUI,NULL,R03071908,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0011142,NULL,CUI,NULL,R03071910,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0020701,NULL,CUI,NULL,R03071916,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0024630,NULL,CUI,NULL,R03071917,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0026773,NULL,CUI,NULL,R03071918,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0027822,NULL,CUI,NULL,R03071920,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0028754,NULL,CUI,NULL,R03071921,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0030920,NULL,CUI,NULL,R03071922,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0033046,NULL,CUI,NULL,R03071923,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0037051,NULL,CUI,NULL,R03071926,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0037274,NULL,CUI,NULL,R03071927,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0080276,NULL,CUI,NULL,R03071928,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0033966,NULL,CUI,NULL,R03071932,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0004937,NULL,CUI,NULL,R03071933,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0037650,NULL,CUI,NULL,R03071934,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C1457887,NULL,CUI,NULL,R03071936,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0221796,NULL,CUI,NULL,R03071937,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0178875,NULL,CUI,NULL,R03071938,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0018681,NULL,CUI,NULL,R03071939,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0019681,NULL,CUI,NULL,R03071940,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0235156,NULL,CUI,NULL,R03071941,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0015478,NULL,CUI,NULL,R03071942,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0086441,NULL,CUI,NULL,R03071944,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0027932,NULL,CUI,NULL,R03071945,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0149931,NULL,CUI,NULL,R03071946,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0154548,NULL,CUI,NULL,R03071948,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0005887,NULL,CUI,NULL,R03071949,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0154637,NULL,CUI,NULL,R03071951,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0017650,NULL,CUI,NULL,R03071952,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0496703,NULL,CUI,NULL,R03071953,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0013404,NULL,CUI,NULL,R03071954,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0553668,NULL,CUI,NULL,R03071955,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0553729,NULL,CUI,NULL,R03071956,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0232461,NULL,CUI,NULL,R03071957,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0233423,NULL,CUI,NULL,R03071958,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0233756,NULL,CUI,NULL,R03071959,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0022104,NULL,CUI,NULL,R03071960,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0220854,NULL,CUI,NULL,R03071962,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0597114,NULL,CUI,NULL,R03071963,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0597314,NULL,CUI,NULL,R03071964,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0599909,NULL,CUI,NULL,R03071965,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,A28941878,CUI,RQ,C0020701,A1623541,AUI,clinically_similar,R03689311,NULL,RAM,RAM,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0017178,NULL,CUI,NULL,R103704446,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0033975,NULL,CUI,NULL,R14949868,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0020505,NULL,CUI,NULL,R162930132,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0376356,NULL,CUI,NULL,R19374024,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0553642,NULL,CUI,NULL,R19383071,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0020578,NULL,CUI,NULL,R25620634,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0020604,NULL,CUI,NULL,R25620637,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RN,C0520482,NULL,CUI,NULL,R28740706,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0009946,NULL,CUI,NULL,R28760832,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0031212,NULL,CUI,NULL,R28761800,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0014130,NULL,CUI,NULL,R28763498,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RN,C0041672,NULL,CUI,NULL,R29934951,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0033953,NULL,CUI,NULL,R31835205,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RN,C0015480,NULL,CUI,NULL,R31922383,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RB,C0004936,NULL,CUI,NULL,R33799959,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RN,C0349785,NULL,CUI,NULL,R43975330,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0033931,NULL,CUI,RO,C0026785,NULL,CUI,NULL,R49804421,NULL,MTH,MTH,NULL,NULL,N,NULL,C0033931
C0085129,NULL,CUI,RO,C0004096,NULL,CUI,NULL,R03091313,NULL,MTH,MTH,NULL,NULL,N,NULL,C0085129
C0282556,NULL,CUI,RN,C0361272,NULL,CUI,NULL,R02891743,NULL,MTH,MTH,NULL,NULL,N,NULL,C0282556
C0282556,NULL,CUI,RO,C0004096,NULL,CUI,NULL,R03095327,NULL,MTH,MTH,NULL,NULL,N,NULL,C0282556
C0282556,NULL,CUI,RO,C0161637,NULL,CUI,NULL,R03095329,NULL,MTH,MTH,NULL,NULL,N,NULL,C0282556
C0282556,NULL,CUI,RN,C0085173,NULL,CUI,NULL,R13415436,NULL,MTH,MTH,NULL,NULL,N,NULL,C0282556
C0282556,NULL,CUI,RO,C0350348,NULL,CUI,NULL,R84752942,NULL,MTH,MTH,NULL,NULL,N,NULL,C0282556
C0694548,NULL,CUI,RO,C0004096,NULL,CUI,NULL,R03148335,NULL,MTH,MTH,NULL,NULL,N,NULL,C0694548
C0375321,NULL,CUI,RO,C0004096,NULL,CUI,NULL,R03220128,NULL,MTH,MTH,NULL,NULL,N,NULL,C0375321
C0235906,NULL,CUI,RO,C0004096,NULL,CUI,NULL,R03226580,NULL,MTH,MTH,NULL,NULL,N,NULL,C0235906
C0235906,NULL,CUI,RB,C0035204,NULL,CUI,NULL,R28754851,NULL,MTH,MTH,NULL,NULL,N,NULL,C0235906
C0043144,NULL,CUI,RB,C0231856,NULL,CUI,NULL,R02808646,NULL,MTH,MTH,NULL,NULL,N,NULL,C0043144
C0043144,NULL,CUI,RB,C0029601,NULL,CUI,NULL,R02808647,NULL,MTH,MTH,NULL,NULL,N,NULL,C0043144
C0043144,NULL,CUI,RO,C0004096,NULL,CUI,NULL,R03337570,NULL,MTH,MTH,NULL,NULL,N,NULL,C0043144
C0043144,NULL,CUI,RO,C0006266,NULL,CUI,NULL,R03337571,NULL,MTH,MTH,NULL,NULL,N,NULL,C0043144
C0043144,NULL,CUI,RO,C0037315,NULL,CUI,NULL,R03337574,NULL,MTH,MTH,NULL,NULL,N,NULL,C0043144
C0043144,NULL,CUI,RB,C0035234,NULL,CUI,NULL,R117775621,NULL,MTH,MTH,NULL,NULL,N,NULL,C0043144
C0043144,NULL,CUI,RO,C0035242,NULL,CUI,NULL,R13418589,NULL,MTH,MTH,NULL,NULL,N,NULL,C0043144
C0043144,NULL,CUI,RO,C0035508,NULL,CUI,NULL,R146469514,NULL,MTH,MTH,NULL,NULL,N,NULL,C0043144
